run_label,source,final_cumulative_time_sec,best_cumulative_time_sec,sum_cumulative_time_sec,total_time_sec
SFLV2 + Projected - CIFAR-10 α=0.1.csv,SFLV2 + Projected - CIFAR-10 α=0.1.csv,20676.70339315571,20676.70339315571,2077667.9292999767,20676.70339315571
SL + Projected on CIFAR-10 α=0.1.csv,SL + Projected on CIFAR-10 α=0.1.csv,14744.065381694585,14744.065381694585,1475136.722799288,14744.065381694585
SL - CIFAR-10 α=0.1.csv,SL - CIFAR-10 α=0.1.csv,12954.91715654917,12954.91715654917,1295097.006074356,12954.91715654917
FOT - CIFAR-10 α=0.1.csv,FOT - CIFAR-10 α=0.1.csv,10058.339054107666,10058.339054107666,1010114.401566267,10058.339054107666
SFLV2 - CIFAR-10 α=0.1.csv,SFLV2 - CIFAR-10 α=0.1.csv,9678.121941100806,9678.121941100806,967981.2410912365,9678.121941100806
FL - CIFAR-10 α=0.1.csv,FL - CIFAR-10 α=0.1.csv,8989.126864559948,8989.126864559948,902883.4331447612,8989.126864559948
Centralize Baseline - CIFAR-10.csv,Centralize Baseline - CIFAR-10.csv,1420.4765896722674,1420.4765896722674,142945.73129648343,1420.4765896722674
