run_label,source,final_mean_FgT_loss,best_mean_FgT_loss,sum_mean_FgT_loss,total_time_sec,AUPF
SL - CIFAR-10 α=0.1.csv,SL - CIFAR-10 α=0.1.csv,-0.5722538490391257,-2.5004079341888428,-33.840781149535474,12954.91715654917,82.01755799069991
SFLV2 - CIFAR-10 α=0.1.csv,SFLV2 - CIFAR-10 α=0.1.csv,-0.2695048741958848,-1.7925343364477158,-113.93265187095056,9678.121941100806,1.7753748068806978
SL + Projected on CIFAR-10 α=0.1.csv,SL + Projected on CIFAR-10 α=0.1.csv,0.1887262113130272,-1.3886427879333496,-41.916817670031335,14744.065381694585,32.84710954585866
FL - CIFAR-10 α=0.1.csv,FL - CIFAR-10 α=0.1.csv,-0.3079433797591894,-1.1303633962358748,-85.20036031155185,8989.126864559948,0.0208284899275353
FOT - CIFAR-10 α=0.1.csv,FOT - CIFAR-10 α=0.1.csv,0.0502229080200194,-0.8056686279296874,3.764869168090812,10058.339054107666,5.78303814086913
SFLV2 + Projected - CIFAR-10 α=0.1.csv,SFLV2 + Projected - CIFAR-10 α=0.1.csv,-0.5015196000511323,-0.6906725019216537,-86.66443739734582,20676.70339315571,1.740808513623242
Centralize Baseline - CIFAR-10.csv,Centralize Baseline - CIFAR-10.csv,-0.10925585611831,-0.4201811589300632,-23.420952321964702,1420.4765896722674,0.0504365819493105
