run_label,source,final_cumulative_time_sec,best_cumulative_time_sec,sum_cumulative_time_sec,total_time_sec
SL + Projected on CIFAR-10 α=0.5.csv,SL + Projected on CIFAR-10 α=0.5.csv,16210.337666179053,16210.337666179053,1646246.0758090904,16210.337666179053
SFLV2 + Projected - CIFAR-10 α=0.5.csv,SFLV2 + Projected - CIFAR-10 α=0.5.csv,15423.982418760657,15423.982418760657,1547509.9309078231,15423.982418760657
SL - CIFAR-10 α=0.5.csv,SL - CIFAR-10 α=0.5.csv,12684.249085421674,12684.249085421674,1278102.1289030649,12684.249085421674
SFLV2 - CIFAR-10 α=0.5.csv,SFLV2 - CIFAR-10 α=0.5.csv,10601.228113482706,10601.228113482706,1064836.0588952145,10601.228113482706
Centralize Baseline - CIFAR-10.csv,Centralize Baseline - CIFAR-10.csv,1411.7266572080553,1411.7266572080553,142087.32840260305,1411.7266572080553
