round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,8.63,12.96,8.770824369043112,0.0
2,17.624,19.54,7.513240668922663,-0.3090081214904785
3,24.566,25.92,7.411226503551006,-0.3918416500091553
4,30.622,32.03,7.269648756831884,-0.45471922556559247
5,35.274,35.79,7.188469534739852,-0.6227403283119202
6,39.548,39.64,7.225384214892983,-0.7431350231170655
7,42.862,41.56,7.452132221311331,-0.6921798984209696
8,46.366,44.19,7.290185835212469,-0.6574910708836147
9,49.22,43.65,7.582625027745962,-0.4971323311328888
10,51.926,43.69,7.489557338878512,-0.48059577412075466
11,54.382,47.91,7.458148762583733,-0.558592927455902
12,56.864,48.43,7.5281981118023396,-0.5936529636383057
13,58.834,52.5,7.664237316697836,-0.6230972111225128
14,61.112,54.09,7.424337876960635,-0.7506193014291617
15,62.494,53.92,7.906318986788392,-0.6570930140359061
16,64.514,53.89,7.904910862445831,-0.5935154517491659
17,65.616,55.62,7.596908763051033,-0.5849313139915466
18,67.228,56.66,7.229264710098505,-0.6081069848116707
19,69.162,56.22,7.379141893237829,-0.4979831907484267
20,70.316,55.7,7.439011503010988,-0.46324577457026433
21,71.35,59.48,7.254380749538541,-0.6089007437229157
22,72.908,59.41,7.5325658563524485,-0.5972505126680646
23,74.048,59.17,7.429795319214463,-0.6127574443817139
24,75.378,58.65,7.78390608727932,-0.50387093813523
25,76.098,59.92,7.325105534866452,-0.4866009056568146
26,77.754,61.16,7.334608914330602,-0.5302406024932861
27,79.002,59.99,7.2615619618445635,-0.38107235156572783
28,79.428,61.22,7.706527939066291,-0.3895838878772877
29,81.05,61.18,7.262710157781839,-0.389893787247794
30,81.682,61.1,7.40724091604352,-0.394911161784468
31,82.842,60.22,7.238045619800687,-0.3401822964350382
32,83.976,60.57,7.239638799801469,-0.3014277854273396
33,84.232,61.52,7.411778952926397,-0.3319119866937399
34,85.364,63.74,7.411937898024917,-0.41346296035882196
35,86.19,62.68,7.703830748796463,-0.31838344651110034
36,86.766,61.21,7.268251094967127,-0.21978976896830968
37,87.572,63.54,7.417850049212575,-0.3433602617846595
38,88.674,63.08,7.3591264970600605,-0.3241273390280234
39,89.31,62.32,7.3273401241749525,-0.19054656279714485
40,89.938,63.49,7.3331479243934155,-0.2616816560427348
41,90.856,61.99,7.165727432817221,-0.14390928894281388
42,91.346,62.66,7.422144586220384,-0.15137117519611265
43,92.128,64.18,7.396302063018084,-0.23139954180944533
44,92.596,64.2,7.734381524845958,-0.26269576438637665
45,93.16,63.76,7.640550080686808,-0.18699140575799075
46,93.31,63.95,7.394133783876896,-0.18391428656048245
47,93.79,61.61,7.308793768286705,-0.042449384927749634
48,94.508,63.83,7.233472678810358,-0.11616866258864707
49,94.952,64.61,7.22444286942482,-0.15292205289006233
50,95.346,63.82,7.359929896891117,-0.14654058339644452
51,95.43,65.03,7.653803752735257,-0.14460344076156617
52,95.366,64.72,7.38845544308424,-0.17355883822721593
53,95.882,64.2,7.367090163752437,-0.10721001143638904
54,96.014,63.24,7.741638666018844,-0.012050800728348066
55,96.774,65.4,7.601982928812504,-0.1792572107579973
56,96.608,65.59,7.191783178597689,-0.17420020428570834
57,96.894,67.04,7.387093838304281,-0.2577905995505197
58,97.272,65.84,7.231349959969521,-0.14559205268558703
59,97.252,65.77,7.3512032348662615,-0.1461391973084417
60,97.586,66.04,7.424230847507715,-0.14911506135584945
61,97.388,65.77,7.425435326993465,-0.12894506752490997
62,97.896,65.97,7.600431930273771,-0.13685333337940153
63,97.988,65.61,7.325008384883404,-0.09004425906365918
64,97.846,65.96,7.422910392284393,-0.10818497056052798
65,97.858,65.6,7.722591105848551,-0.11194683983922005
66,97.864,67.08,7.451523277908564,-0.14614338599718535
67,98.128,66.64,7.381761871278286,-0.08046988826809508
68,98.224,66.91,7.506491346284747,-0.1242528673428208
69,98.356,67.01,7.447523979470134,-0.1498689335935256
70,98.574,66.79,7.488336861133575,-0.15000760382500247
71,98.342,65.42,7.366558123379946,-0.10485073668616159
72,98.372,66.08,7.511035997420549,-0.13800094664936335
73,98.344,66.97,7.468797350302339,-0.14178300400575003
74,98.412,67.05,7.470032297074795,-0.11636669505132388
75,98.522,66.42,7.4804965276271105,-0.13637426737192515
76,98.52,66.55,7.59763615950942,-0.1304158123334249
77,98.914,66.6,7.646683689206839,-0.14850521244500814
78,98.842,67.26,7.751495148986578,-0.11621930072833965
79,98.838,66.86,7.450003415346146,-0.12091385706877097
80,98.942,67.07,7.299857456237078,-0.11035448086412647
81,98.086,65.83,7.281359368935227,-0.0624531552195549
82,97.83,64.77,7.49972858838737,-0.04356760743223591
83,98.266,65.7,7.314786082133651,-0.0899421034789667
84,98.388,65.96,7.297786097973585,-0.0499687783689384
85,98.512,65.81,7.2108810395002365,-0.07409054324740455
86,98.248,66.18,7.4849098566919565,-0.0872759783969206
87,98.214,66.34,7.4969263933598995,-0.1387079829393431
88,98.754,67.45,7.247896883636713,-0.1517731444589023
89,99.13,66.66,7.509067505598068,-0.10715708339756186
90,99.042,67.16,7.516674743965268,-0.10849094189954607
91,99.096,67.95,7.236673407256603,-0.13448775013287861
92,99.2,67.5,7.683112349361181,-0.14464394404337957
93,99.222,67.8,7.340985778719187,-0.16589909597583438
94,98.848,66.82,7.7329234424978495,-0.08665096182977
95,98.782,66.78,7.370548499748111,-0.15081200130442354
96,98.208,64.72,7.429618721827865,-0.0075737062253450095
97,97.862,63.62,7.340515656396747,0.06159448499480883
98,97.93,65.26,7.296841802075505,-0.005957752773442219
99,97.384,64.38,7.540448172017932,0.03865784893230516
100,98.106,65.6,7.3502631317824125,-0.020192152321940722
101,98.044,65.43,7.388869447633624,-0.02176972687244415
102,97.788,64.95,7.254680376499891,-0.024605800019632473
103,97.782,65.74,7.277480928227305,-0.021663658759173227
104,98.0,64.45,7.403593620285392,0.028897602581283422
105,98.472,66.65,7.568985210731626,-0.08731862558768345
106,98.97,67.97,7.480330305173993,-0.17846762566339403
107,99.106,67.9,7.651477986946702,-0.17766664894121997
108,99.11,67.96,7.44182138517499,-0.185734233009481
109,99.194,67.84,7.275640778243542,-0.16532300798981278
110,99.344,67.25,7.422992017120123,-0.15743641951762208
