round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,alpha,warmup_rounds,rebuild_every,top_r
1,1.006,0.8500000000000001,53.86438298225403,0.0,True,0.5,10,0,8
2,5.335999999999999,6.1,51.09023928642273,-0.7102467529296872,True,0.5,10,0,8
3,14.92,15.24,51.75412654876709,-0.6826842285156252,True,0.5,10,0,8
4,20.642,21.08,52.49174165725708,-0.31556533813476567,True,0.5,10,0,8
5,24.202,24.41,51.92785453796387,-0.16514846801757824,True,0.5,10,0,8
6,27.358,27.01,53.27555274963379,-0.14629487304687486,True,0.5,10,0,8
7,29.956,29.38,53.260624408721924,-0.10597250366210939,True,0.5,10,0,8
8,31.924000000000003,30.570000000000004,53.618464946746826,-0.06515247192382816,True,0.5,10,0,8
9,34.47,32.629999999999995,53.53883934020996,-0.08377671508789061,True,0.5,10,0,8
10,36.006,32.99,53.3463351726532,-0.040035220336914,True,0.5,10,0,8
11,35.868,33.269999999999996,53.19437861442566,0.010623928833007668,True,0.5,10,0,8
12,37.074,33.629999999999995,52.90358591079712,-0.01589708557128917,True,0.5,10,0,8
13,36.132,33.48,54.48806691169739,0.026603814697265714,True,0.5,10,0,8
14,37.924,34.1,52.86550235748291,-0.013969104003906186,True,0.5,10,0,8
15,38.084,34.81,52.615034103393555,-0.02202113952636715,True,0.5,10,0,8
16,39.050000000000004,34.410000000000004,52.52458882331848,-0.017385781860351557,True,0.5,10,0,8
17,39.394,34.910000000000004,53.131269216537476,0.0044898223876952414,True,0.5,10,0,8
18,40.048,35.260000000000005,52.899314641952515,-0.004490023803711019,True,0.5,10,0,8
19,41.42,35.93,53.264416456222534,-0.03354088439941405,True,0.5,10,0,8
20,42.502,36.24,53.06600546836853,-0.018630181884765572,True,0.5,10,0,8
21,40.882000000000005,35.52,53.54337120056152,0.06905450134277338,True,0.5,10,0,8
22,44.876,37.72,52.44116187095642,-0.03978913269042979,True,0.5,10,0,8
23,45.548,37.55,53.19674468040466,0.0019732330322265847,True,0.5,10,0,8
24,46.654,37.92,53.78479623794556,-0.011317172241210916,True,0.5,10,0,8
25,48.02,38.519999999999996,54.26009511947632,-0.007017520141601707,True,0.5,10,0,8
26,47.954,38.74,51.93034243583679,0.008358700561523592,True,0.5,10,0,8
27,50.468,39.26,53.167675495147705,-0.017327276611327935,True,0.5,10,0,8
28,49.980000000000004,39.18,53.29158401489258,0.018066992187499943,True,0.5,10,0,8
29,52.284,39.64,53.2212028503418,-0.006465682983398491,True,0.5,10,0,8
30,53.738,40.08,52.96980953216553,-0.014345401000976477,True,0.5,10,0,8
31,54.312000000000005,40.56,53.49541211128235,0.015410571289062425,True,0.5,10,0,8
32,55.206,40.81,52.952099561691284,-0.0020456634521485383,True,0.5,10,0,8
33,57.402,41.260000000000005,53.395923137664795,-0.007007992553710984,True,0.5,10,0,8
34,58.546,41.32,52.48846387863159,-0.0011110717773438416,True,0.5,10,0,8
35,59.343999999999994,41.43,53.350011587142944,0.011005523681640473,True,0.5,10,0,8
36,60.294000000000004,42.17,54.6636176109314,0.004913223266601463,True,0.5,10,0,8
37,60.785999999999994,41.839999999999996,53.974262952804565,0.022707458496093836,True,0.5,10,0,8
38,60.772000000000006,41.88,52.72583770751953,0.029083923339843665,True,0.5,10,0,8
39,63.395999999999994,41.699999999999996,53.27147364616394,0.0271510498046875,True,0.5,10,0,8
40,64.29599999999999,42.370000000000005,52.893017530441284,0.015617807006835882,True,0.5,10,0,8
41,64.364,41.94,53.282734632492065,0.0327719482421875,True,0.5,10,0,8
42,64.28,41.63,52.9428448677063,0.05140951538085936,True,0.5,10,0,8
43,64.14999999999999,41.620000000000005,53.52491283416748,0.05606467895507814,True,0.5,10,0,8
44,67.712,42.55,53.49246692657471,0.03099803466796871,True,0.5,10,0,8
45,66.848,42.6,52.47815012931824,0.04250903015136718,True,0.5,10,0,8
46,67.99,41.92,53.451194286346436,0.05542736511230482,True,0.5,10,0,8
47,69.01,43.02,53.694517850875854,0.043142376708984374,True,0.5,10,0,8
48,71.068,42.92,53.747358322143555,0.04353261718750012,True,0.5,10,0,8
49,70.02199999999999,42.6,54.231497287750244,0.06244806518554693,True,0.5,10,0,8
50,71.434,42.51,53.41229510307312,0.05630311584472656,True,0.5,10,0,8
51,72.83,43.08,53.26386761665344,0.06782470397949218,True,0.5,10,0,8
52,73.282,43.01,52.95943093299866,0.07084612121582028,True,0.5,10,0,8
53,73.858,42.9,53.58893370628357,0.07775233764648445,True,0.5,10,0,8
54,75.012,43.54,52.56686353683472,0.07804635314941404,True,0.5,10,0,8
55,74.466,43.43,52.92281913757324,0.07459684448242196,True,0.5,10,0,8
56,76.39200000000001,43.35,53.22335362434387,0.08263236999511721,True,0.5,10,0,8
57,76.126,43.169999999999995,52.44091057777405,0.08361226501464847,True,0.5,10,0,8
58,75.428,43.1,53.09280610084534,0.09941396179199229,True,0.5,10,0,8
59,77.932,43.39,53.29698896408081,0.08075904235839859,True,0.5,10,0,8
60,77.944,43.13,55.45256280899048,0.09956202392578133,True,0.5,10,0,8
61,77.904,43.830000000000005,53.81672215461731,0.09492281494140622,True,0.5,10,0,8
62,79.17999999999999,43.57,53.54575252532959,0.09674762878417971,True,0.5,10,0,8
63,79.60000000000001,43.68,52.9317524433136,0.10065735473632823,True,0.5,10,0,8
64,79.08,43.32,53.55589008331299,0.09786414794921869,True,0.5,10,0,8
65,77.91,42.92,52.83071255683899,0.13873747558593755,True,0.5,10,0,8
66,78.12599999999999,42.8,53.48587679862976,0.13265380554199221,True,0.5,10,0,8
67,82.004,43.53,52.38707613945007,0.1271632446289063,True,0.5,10,0,8
68,81.918,43.41,53.88666129112244,0.11593418273925789,True,0.5,10,0,8
69,81.784,43.3,52.93716096878052,0.10047690429687509,True,0.5,10,0,8
70,83.03,44.01,52.96639561653137,0.12221399230957042,True,0.5,10,0,8
71,82.056,43.41,53.0015823841095,0.13362930603027348,True,0.5,10,0,8
72,83.792,43.79,55.02895736694336,0.1105531280517579,True,0.5,10,0,8
73,84.206,44.06,52.58977270126343,0.128784945678711,True,0.5,10,0,8
74,84.286,43.78,53.62302541732788,0.1253474365234375,True,0.5,10,0,8
75,85.604,44.230000000000004,52.647780895233154,0.12448842773437496,True,0.5,10,0,8
76,86.04,43.91,53.711101055145264,0.13235196838378913,True,0.5,10,0,8
77,83.768,43.64,52.66982293128967,0.14841978149414067,True,0.5,10,0,8
78,83.966,43.519999999999996,53.1230194568634,0.13336969909667964,True,0.5,10,0,8
79,84.348,43.82,52.98139262199402,0.13724994201660162,True,0.5,10,0,8
80,84.92,43.75,52.75083684921265,0.14321912536621087,True,0.5,10,0,8
81,86.426,43.79,53.57070064544678,0.13981149597167963,True,0.5,10,0,8
82,87.21600000000001,44.04,52.8332633972168,0.15793160095214845,True,0.5,10,0,8
83,84.04,43.39,53.21654748916626,0.18025222473144523,True,0.5,10,0,8
84,86.38,43.980000000000004,54.792680740356445,0.13377617187500004,True,0.5,10,0,8
85,87.346,44.2,53.434717655181885,0.1373946838378906,True,0.5,10,0,8
86,88.00200000000001,44.37,52.99156713485718,0.14755508422851554,True,0.5,10,0,8
87,87.678,44.34,53.55819654464722,0.1401511596679687,True,0.5,10,0,8
88,88.39399999999999,44.2,52.96512722969055,0.16229106750488284,True,0.5,10,0,8
89,88.538,44.2,53.10183334350586,0.14408198547363282,True,0.5,10,0,8
90,88.778,44.41,52.7292914390564,0.15667995300292975,True,0.5,10,0,8
91,88.594,43.919999999999995,53.9424147605896,0.15767575683593754,True,0.5,10,0,8
92,88.63799999999999,43.96,53.45142078399658,0.16752705078125,True,0.5,10,0,8
93,88.914,43.75,53.88551688194275,0.14341122436523443,True,0.5,10,0,8
94,88.766,44.35,53.401766777038574,0.13718723144531256,True,0.5,10,0,8
95,90.01599999999999,44.18,54.32336735725403,0.16594867553710949,True,0.5,10,0,8
96,89.458,43.96,53.463547229766846,0.16301088562011729,True,0.5,10,0,8
97,90.534,43.84,52.97644519805908,0.1748456665039062,True,0.5,10,0,8
98,90.82000000000001,44.5,53.04941010475159,0.16205256347656255,True,0.5,10,0,8
99,90.462,44.15,53.40827178955078,0.1726097991943359,True,0.5,10,0,8
100,89.776,44.42,53.00130820274353,0.15164907226562505,True,0.5,10,0,8
101,90.388,44.1,53.2467577457428,0.16118962402343762,True,0.5,10,0,8
102,89.71000000000001,44.21,53.50368666648865,0.16511405029296872,True,0.5,10,0,8
103,89.764,43.53,52.88630390167236,0.18424771118164074,True,0.5,10,0,8
104,90.668,44.330000000000005,53.10482883453369,0.15295189819335944,True,0.5,10,0,8
105,91.46,44.26,52.94745326042175,0.15911146545410154,True,0.5,10,0,8
106,91.47800000000001,44.48,53.21597361564636,0.15721812744140626,True,0.5,10,0,8
107,92.062,44.89,55.500431299209595,0.16763293762207027,True,0.5,10,0,8
108,91.514,44.21,52.89425277709961,0.17762552490234382,True,0.5,10,0,8
109,91.388,44.55,53.34093761444092,0.16465526123046875,True,0.5,10,0,8
110,91.346,44.769999999999996,53.3616406917572,0.15940771484375,True,0.5,10,0,8
111,91.306,44.28,53.410765171051025,0.16544251708984375,True,0.5,10,0,8
112,91.304,44.4,52.9490692615509,0.1534808898925782,True,0.5,10,0,8
113,92.758,44.67,53.90302324295044,0.166337387084961,True,0.5,10,0,8
114,92.35600000000001,44.5,52.84462285041809,0.16767549743652346,True,0.5,10,0,8
115,90.88199999999999,43.91,52.77667713165283,0.17297343750000005,True,0.5,10,0,8
116,92.374,44.56,53.343037128448486,0.16919404602050783,True,0.5,10,0,8
117,92.506,44.43,53.16123843193054,0.1766110260009766,True,0.5,10,0,8
118,93.452,44.61,55.49059057235718,0.1674428436279297,True,0.5,10,0,8
119,92.97,44.269999999999996,54.260231733322144,0.19767107543945306,True,0.5,10,0,8
120,92.354,44.28,53.4287269115448,0.17963956909179685,True,0.5,10,0,8
121,92.726,44.59,53.245238304138184,0.17047844543457033,True,0.5,10,0,8
122,93.162,44.21,53.93567228317261,0.18382335205078118,True,0.5,10,0,8
123,93.662,44.019999999999996,52.91196823120117,0.19270513610839837,True,0.5,10,0,8
124,93.182,44.62,53.646881103515625,0.17180574645996102,True,0.5,10,0,8
125,93.748,44.21,52.92812991142273,0.18118311767578135,True,0.5,10,0,8
126,93.938,44.58,53.19477319717407,0.19111612548828116,True,0.5,10,0,8
127,94.598,44.43,53.7915563583374,0.19404729614257824,True,0.5,10,0,8
128,93.44,44.42,52.788806200027466,0.18302743835449223,True,0.5,10,0,8
129,93.8,45.06,53.509845495224,0.1495000762939455,True,0.5,10,0,8
130,94.296,44.5,53.839842796325684,0.17695161437988283,True,0.5,10,0,8
131,92.586,44.01,54.59495687484741,0.16416628723144538,True,0.5,10,0,8
132,90.568,43.419999999999995,53.338889837265015,0.22170388488769532,True,0.5,10,0,8
133,93.262,44.36,53.75720477104187,0.1638793548583985,True,0.5,10,0,8
134,94.21199999999999,44.79,53.72275996208191,0.15894958190917974,True,0.5,10,0,8
135,94.296,44.4,53.0497887134552,0.17876361694335943,True,0.5,10,0,8
136,93.89,44.22,53.78456115722656,0.17310275573730466,True,0.5,10,0,8
137,94.498,44.43,53.52487802505493,0.1619040893554688,True,0.5,10,0,8
138,94.14200000000001,44.42,53.38657855987549,0.16406380310058594,True,0.5,10,0,8
139,93.196,44.3,53.54608106613159,0.1701740051269532,True,0.5,10,0,8
140,94.716,44.75,53.68998980522156,0.16940204162597655,True,0.5,10,0,8
141,94.43599999999999,44.91,53.47381544113159,0.17870124816894525,True,0.5,10,0,8
142,93.77799999999999,44.1,55.55871319770813,0.16466456909179686,True,0.5,10,0,8
143,93.97,44.269999999999996,53.27414107322693,0.15887889709472658,True,0.5,10,0,8
144,94.392,44.35,53.48916172981262,0.17066024475097655,True,0.5,10,0,8
145,94.46,44.49,53.371833086013794,0.18014624633789067,True,0.5,10,0,8
146,94.106,44.800000000000004,53.323668241500854,0.15994981994628912,True,0.5,10,0,8
147,94.748,44.61,53.30084729194641,0.17407467041015626,True,0.5,10,0,8
148,95.206,44.58,53.925790309906006,0.17740094299316408,True,0.5,10,0,8
149,94.604,44.39,52.74698996543884,0.18491251831054684,True,0.5,10,0,8
150,95.516,44.49,53.408557415008545,0.18548514404296884,True,0.5,10,0,8
151,94.844,44.84,53.49405336380005,0.1746195739746093,True,0.5,10,0,8
152,94.312,44.56,53.77828335762024,0.16808834838867187,True,0.5,10,0,8
153,95.22,44.769999999999996,54.63105010986328,0.1577538146972656,True,0.5,10,0,8
154,94.408,44.98,52.653722286224365,0.16041018066406254,True,0.5,10,0,8
155,95.324,44.9,53.54135298728943,0.15727563171386727,True,0.5,10,0,8
156,93.598,44.230000000000004,53.388742208480835,0.1521119506835939,True,0.5,10,0,8
157,95.396,44.89,53.29011654853821,0.14671130676269534,True,0.5,10,0,8
158,94.486,43.78,53.59599781036377,0.16956693725585942,True,0.5,10,0,8
159,95.138,44.68,52.721115827560425,0.16843824157714843,True,0.5,10,0,8
160,94.812,44.45,53.53780508041382,0.1625790435791016,True,0.5,10,0,8
161,96.218,44.61,53.04539728164673,0.163504476928711,True,0.5,10,0,8
162,95.35,44.440000000000005,53.886261224746704,0.16622984313964845,True,0.5,10,0,8
163,95.722,44.46,52.87665104866028,0.1785576324462891,True,0.5,10,0,8
