run_label,source,final_cumulative_time_sec,best_cumulative_time_sec,sum_cumulative_time_sec,total_time_sec
SL + Projected on CIFAR-100 α=0.5.csv,SL + Projected on CIFAR-100 α=0.5.csv,15226.962925167754,15226.962925167754,1543965.6677609961,15226.962925167754
SFLV2 + Projected - CIFAR-100 α=0.5.csv,SFLV2 + Projected - CIFAR-100 α=0.5.csv,13789.546794254333,13789.546794254333,1412132.8280748222,13789.546794254333
SL - CIFAR-100 α=0.5.csv,SL - CIFAR-100 α=0.5.csv,13072.615041317418,13072.615041317418,1332108.845929267,13072.615041317418
SFLV2 - CIFAR-100 α=0.5.csv,SFLV2 - CIFAR-100 α=0.5.csv,10708.832911888137,10708.832911888137,1085050.9950708617,10708.832911888137
FOT - CIFAR-100 α=0.5.csv,FOT - CIFAR-100 α=0.5.csv,10676.703352689743,10676.703352689743,1071073.004071951,10676.703352689743
FL - CIFAR-100 α=0.5.csv,FL - CIFAR-100 α=0.5.csv,9224.167341630906,9224.167341630906,929734.7767810952,9224.167341630906
Centralize Baseline - CIFAR-100.csv,Centralize Baseline - CIFAR-100.csv,1488.9920846261084,1488.9920846261084,149713.92438590713,1488.9920846261084
