run_label,source,final_cumulative_time_sec,best_cumulative_time_sec,sum_cumulative_time_sec,total_time_sec
SFLV2 + Projected - CIFAR-10 α=0.5.csv,SFLV2 + Projected - CIFAR-10 α=0.5.csv,15835.242292148992,15835.242292148992,1591968.6900044233,15835.242292148992
SL + Projected on CIFAR-10 α=0.5.csv,SL + Projected on CIFAR-10 α=0.5.csv,14672.674761909992,14672.674761909992,1481148.433165634,14672.674761909992
SL - CIFAR-10 α=0.5.csv,SL - CIFAR-10 α=0.5.csv,13448.99866859056,13448.99866859056,1351438.4394219387,13448.99866859056
FOT - CIFAR-10 α=0.5.csv,FOT - CIFAR-10 α=0.5.csv,11915.198994636536,11915.198994636536,1197762.819971323,11915.198994636536
SFLV2 - CIFAR-10 α=0.5.csv,SFLV2 - CIFAR-10 α=0.5.csv,11238.117738591507,11238.117738591507,1129717.40822535,11238.117738591507
FL - CIFAR-10 α=0.5.csv,FL - CIFAR-10 α=0.5.csv,10496.805857479572,10496.805857479572,1055155.6704274975,10496.805857479572
Centralize Baseline - CIFAR-10.csv,Centralize Baseline - CIFAR-10.csv,1438.2871939241886,1438.2871939241886,144508.48219031096,1438.2871939241886
