round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,58.53280919121644,30.54754858016968,61.140243669971824,0.0
2,66.41675728247371,40.982287120819095,59.463088606484234,0.8339676856994629
3,70.26295198821153,45.778219318389894,59.55648051202297,-0.42213529348373413
4,73.37829621058373,49.48612613677979,61.043975844047964,-0.3620954751968384
5,75.94893122650183,52.213092517852786,63.33083839621395,0.1759745478630066
6,77.01939854172626,53.80488948822021,63.385605092160404,-0.2192946195602417
7,78.5391799567071,55.10102367401123,63.11619087960571,-0.6100292205810547
8,79.78709177154406,56.64197196960449,63.17076067812741,-0.09041828768593925
9,80.89242643766825,57.678475093841556,63.340382871218026,-0.5240195840597153
10,82.0477578939895,58.896484184265134,63.49568548705429,-0.06517905659145778
11,83.01086933352869,60.793709659576415,63.94906914886087,-0.242270565032959
12,83.50851164572794,60.3700834274292,63.76793541572988,-0.23031418973749335
13,84.32255148679091,61.09678058624267,63.48524094000459,-0.6338625599940618
14,85.16142315384542,61.17860984802246,64.1830743867904,-0.40637614176823544
15,85.81166540170884,62.839776039123535,63.59570614993572,-0.49654020156179157
16,85.98178279175072,62.29357490539551,63.60546873509884,0.04168926477432251
17,86.86226315170741,62.82293930053711,63.99118564557284,-0.6101678945124149
18,87.13842374620555,63.016904544830325,63.93951413407922,-0.5747526743832756
19,88.07886983259678,64.41103172302246,63.53573152143508,-0.49330175916353863
20,88.54149000837474,65.16971979141235,64.06668391264975,0.061879904646622505
21,89.55931789886469,64.63227338790894,63.80462674237788,0.013823199272155761
22,89.77385596868012,64.53731136322021,63.97283294796944,0.017883337679363433
23,90.24129874607966,65.3896143913269,63.817741689272225,-0.10938962210308421
24,91.07407774598207,66.13584308624267,63.848670814186335,-0.46000711555066315
25,91.35476386497058,66.13011846542358,63.67775710206479,-0.008821636438369751
26,91.56645383469062,66.01495151519775,63.598990865051746,-0.43279223442077636
27,92.00046944270841,66.62143039703369,63.916540066711605,-0.292102025105403
