round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,3.8376,0.98,52.29122505709529,0.0
2,4.6964,1.56,50.934270560741425,-0.03579521179199219
3,5.5536,1.77,50.73697944171727,-0.060442447662353516
4,6.09,2.06,50.480618160218,-0.07249895731608073
5,6.410399999999999,2.24,50.849245090037584,-0.0768500566482544
6,6.8372,2.51,50.62924262881279,-0.08153867721557617
7,7.2052000000000005,3.06,50.777462005615234,-0.08564670880635579
8,7.5284,3.55,50.627109199762344,-0.08934811183384486
9,7.9716,3.73,50.858810579404235,-0.09207481145858765
10,8.2204,3.87,51.78438044525683,-0.09386507670084636
11,8.5556,4.19,50.656669491901994,-0.0971923828125
12,8.8324,4.41,50.705783950164914,-0.09992941943081943
13,9.142,4.69,51.03396222181618,-0.10210760434468587
14,9.4672,4.8,50.948485461995006,-0.10526822163508488
15,9.6832,4.99,51.08139284141362,-0.1082468032836914
16,10.004399999999999,5.25,50.928859528154135,-0.11200052897135417
17,10.2096,5.48,50.591236570850015,-0.11504444479942322
18,10.4428,5.62,50.853948533535004,-0.11851947447832893
19,10.7308,5.84,50.81241523101926,-0.1234632068210178
20,10.954,5.91,50.72590021044016,-0.12866168273122688
21,11.2064,6.08,51.45219846069813,-0.13348422050476075
22,11.3156,6.25,52.6212465967983,-0.13715473810831705
23,11.4964,6.35,51.21814703568816,-0.14269341122020374
24,11.705599999999999,6.54,51.27451888844371,-0.14777432317319122
25,11.867999999999999,6.64,51.40770537778735,-0.15251686175664267
26,12.0208,6.81,51.43140061199665,-0.15880294799804687
27,12.1584,6.86,51.402946745976806,-0.16393465262192947
28,12.4092,7.14,51.2770133651793,-0.1717561262625235
29,12.4764,7.31,51.25029803812504,-0.1777573823928833
30,12.638399999999999,7.31,51.91449662670493,-0.18383624635893722
31,12.7708,7.49,51.59808451682329,-0.19008270899454752
32,12.893199999999998,7.62,51.6714537832886,-0.1973783508423836
33,13.081999999999999,7.88,53.77761906757951,-0.20359985530376434
34,13.299199999999999,7.93,51.372753309085965,-0.2081374688581987
35,13.472000000000001,8.0,51.28395634703338,-0.21336697129642263
36,13.697599999999998,8.13,51.78854246623814,-0.22017178535461426
37,13.8488,8.4,51.32683000899851,-0.22444291909535727
38,14.0536,8.6,51.740288604050875,-0.22868967056274414
39,14.2204,8.75,51.2508090287447,-0.23395399043434545
40,14.322,8.92,51.561749359592795,-0.2386157023601043
41,14.536399999999999,8.96,51.76288234256208,-0.2417977809906006
42,14.588400000000002,9.09,51.75999470613897,-0.2474173045739895
43,14.871599999999999,9.21,51.74573755823076,-0.24959136190868558
44,14.9616,9.3,51.57482789084315,-0.2542974782544513
45,15.0664,9.31,53.622505171224475,-0.25733194567940454
46,15.134,9.49,51.838412560522556,-0.25977518293592666
