run_label,source,final_mean_FgT_loss,best_mean_FgT_loss,sum_mean_FgT_loss,total_time_sec,AUPF
SFLV2 + Projected - CIFAR-100 α=0.1.csv,SFLV2 + Projected - CIFAR-100 α=0.1.csv,-0.5693659422984675,-1.3287899255752564,-163.27337093735838,14799.490001281723,0.064976692199707
SFLV2 - CIFAR-100 α=0.1.csv,SFLV2 - CIFAR-100 α=0.1.csv,-0.2878448367118835,-1.1543914675712583,-112.60197354190362,9810.247184017673,0.0
FL - CIFAR-100 α=0.1.csv,FL - CIFAR-100 α=0.1.csv,-0.2434400370971641,-0.8644441041079435,-80.05829391707668,8868.363366113976,0.0
Centralize Baseline - CIFAR-100.csv,Centralize Baseline - CIFAR-100.csv,-0.111183828744457,-0.7506193014291617,-34.165471010795905,1486.0545461699367,1.3503596849783248
FOT - CIFAR-100 α=0.1.csv,FOT - CIFAR-100 α=0.1.csv,0.0546479614257811,-0.3994547241210939,7.905869802856423,10874.903730630875,10.304034774780249
