round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,alpha,warmup_rounds,rebuild_every,top_r
61,80.896,44.48,52.02795100212097,0.09109320678710944,True,0.5,5,0,8
62,81.78999999999999,44.65,52.24759912490845,0.10149763793945317,True,0.5,5,0,8
63,81.58999999999999,44.519999999999996,51.98122310638428,0.1129590454101562,True,0.5,5,0,8
64,82.552,44.61,52.166457653045654,0.12767182006835948,True,0.5,5,0,8
65,81.42,43.95,52.28027844429016,0.1222077514648439,True,0.5,5,0,8
66,82.536,44.35,52.072344064712524,0.11351863098144532,True,0.5,5,0,8
67,83.14399999999999,45.11,51.76471424102783,0.1345757110595703,True,0.5,5,0,8
68,82.174,44.629999999999995,52.26246452331543,0.1034994232177735,True,0.5,5,0,8
69,83.222,44.66,52.39444327354431,0.12154553527832021,True,0.5,5,0,8
70,84.70400000000001,44.48,53.25044870376587,0.1247804840087892,True,0.5,5,0,8
71,84.158,44.81,53.764756202697754,0.14694450683593754,True,0.5,5,0,8
72,84.004,44.379999999999995,51.96569037437439,0.11880816345214847,True,0.5,5,0,8
73,85.72999999999999,44.72,52.26757621765137,0.14316064758300798,True,0.5,5,0,8
74,85.112,44.32,52.08776140213013,0.1369281646728518,True,0.5,5,0,8
75,86.47399999999999,44.81,52.028125286102295,0.13057697143554697,True,0.5,5,0,8
76,87.366,44.46,51.826587438583374,0.14949192810058598,True,0.5,5,0,8
77,87.018,44.96,52.17333436012268,0.1555432586669923,True,0.5,5,0,8
78,86.264,44.24,51.64752388000488,0.14765755920410156,True,0.5,5,0,8
79,85.868,44.67,52.300930976867676,0.16593535461425785,True,0.5,5,0,8
80,86.874,44.79,52.33275389671326,0.13563735351562514,True,0.5,5,0,8
81,87.72999999999999,44.95,51.9922354221344,0.1421506408691407,True,0.5,5,0,8
82,86.778,44.87,51.743401288986206,0.13503786315917984,True,0.5,5,0,8
83,87.21,44.74,53.74901986122131,0.14115287170410173,True,0.5,5,0,8
84,87.21799999999999,44.68,52.125845432281494,0.15030982971191414,True,0.5,5,0,8
85,88.30799999999999,44.84,52.04070591926575,0.14374978027343746,True,0.5,5,0,8
86,88.21799999999999,44.87,52.47888708114624,0.1181912506103516,True,0.5,5,0,8
87,88.67399999999999,44.92,52.075846910476685,0.15255073852539072,True,0.5,5,0,8
88,89.086,45.33,51.391225814819336,0.14698888854980474,True,0.5,5,0,8
89,88.818,44.529999999999994,52.00876259803772,0.1813610290527344,True,0.5,5,0,8
90,88.874,44.5,51.86288142204285,0.15042966003417968,True,0.5,5,0,8
91,89.946,44.89,53.13975191116333,0.15592153625488284,True,0.5,5,0,8
92,89.542,44.46,51.712806224823,0.14922280883789069,True,0.5,5,0,8
93,89.85600000000001,44.92,52.2779381275177,0.15041889648437506,True,0.5,5,0,8
94,89.834,44.769999999999996,52.7125198841095,0.1495157745361328,True,0.5,5,0,8
95,90.13799999999999,44.87,53.18748116493225,0.15714980773925785,True,0.5,5,0,8
96,89.956,44.87,51.62810301780701,0.14294090881347668,True,0.5,5,0,8
97,90.212,44.75,51.908109188079834,0.14915106201171877,True,0.5,5,0,8
98,91.548,45.51,52.12511205673218,0.1300540344238282,True,0.5,5,0,8
99,90.816,44.86,52.083319902420044,0.16682137145996095,True,0.5,5,0,8
100,90.53,45.34,52.13417363166809,0.1425890014648438,True,0.5,5,0,8
