run_label,source,final_mean_FgT_loss,best_mean_FgT_loss,sum_mean_FgT_loss,total_time_sec,AUPF
SL - CIFAR-10 α=0.1.csv,SL - CIFAR-10 α=0.1.csv,0.0056053903234663,-1.7420958068178989,112.45969490664761,13085.814437923953,171.17441725024554
SFLV2 + Projected - CIFAR-10 α=0.1.csv,SFLV2 + Projected - CIFAR-10 α=0.1.csv,-0.3842964423960777,-1.102199653784434,-96.9025984341936,13574.806266508996,1.4941419279936587
SFLV2 - CIFAR-10 α=0.1.csv,SFLV2 - CIFAR-10 α=0.1.csv,-0.3582690031684223,-1.0896734148263931,-92.15611072250516,9819.689401967451,0.438730908764733
SL + Projected on CIFAR-10 α=0.1.csv,SL + Projected on CIFAR-10 α=0.1.csv,0.2418963951082086,-1.0513012886047364,-5.115354657503513,15586.637484030798,45.24975636692646
FL - CIFAR-10 α=0.1.csv,FL - CIFAR-10 α=0.1.csv,-0.1642159973856192,-0.3637515251026597,-55.659596869471955,8306.093936077319,0.0
Centralize Baseline - CIFAR-10.csv,Centralize Baseline - CIFAR-10.csv,0.010549042167975,-0.3569391507368821,-33.39955616101529,1411.7266572080553,0.1349824214135209
FOT - CIFAR-10 α=0.1.csv,FOT - CIFAR-10 α=0.1.csv,0.0893712753295899,-0.2595945495605469,5.266563893127441,8836.794439792633,6.323625231933591
