run_label,source,final_cumulative_time_sec,best_cumulative_time_sec,sum_cumulative_time_sec,total_time_sec
SFLV2 + Projected - CIFAR-100 α=0.5.csv,SFLV2 + Projected - CIFAR-100 α=0.5.csv,15377.416109374724,15377.416109374724,1586031.688067452,15377.416109374724
SL + Projected on CIFAR-100 α=0.5.csv,SL + Projected on CIFAR-100 α=0.5.csv,14220.437718661502,14220.437718661502,1440109.4894708646,14220.437718661502
SL - CIFAR-100 α=0.5.csv,SL - CIFAR-100 α=0.5.csv,13842.808748151176,13842.808748151176,1418200.591701949,13842.808748151176
SFLV2 - CIFAR-100 α=0.5.csv,SFLV2 - CIFAR-100 α=0.5.csv,10935.269820739515,10935.269820739515,1117219.7520777779,10935.269820739515
Centralize Baseline - CIFAR-100.csv,Centralize Baseline - CIFAR-100.csv,1434.089559786953,1434.089559786953,144329.5265473798,1434.089559786953
