run_label,source,final_mean_FgT_loss,best_mean_FgT_loss,sum_mean_FgT_loss,total_time_sec,AUPF
FOT - CIFAR-10 α=0.5.csv,FOT - CIFAR-10 α=0.5.csv,0.0423051139831543,-0.9807416564941406,2.562243799591057,10055.592773199081,4.847735742187491
SFLV2 - CIFAR-10 α=0.5.csv,SFLV2 - CIFAR-10 α=0.5.csv,-0.1357350051964647,-0.8832754294077555,-53.492788494487606,9917.732828645036,0.1019327640533447
FL - CIFAR-10 α=0.5.csv,FL - CIFAR-10 α=0.5.csv,-0.1419214866306614,-0.8616725206375122,-37.31569070695875,9062.026688089594,0.0026200411812908
SL - CIFAR-10 α=0.5.csv,SL - CIFAR-10 α=0.5.csv,-0.1156786624810204,-0.8343222737312317,-21.080553891112856,12938.311970705166,10.171206956278809
SFLV2 + Projected - CIFAR-10 α=0.5.csv,SFLV2 + Projected - CIFAR-10 α=0.5.csv,-0.184253295761856,-0.6189268231391907,-52.426974117646246,14598.110803833231,0.1276807785034179
SL + Projected on CIFAR-10 α=0.5.csv,SL + Projected on CIFAR-10 α=0.5.csv,-0.071173732005172,-0.5766888856887817,-12.251131188878121,15423.89609340392,6.673222642583554
Centralize Baseline - CIFAR-10.csv,Centralize Baseline - CIFAR-10.csv,-0.10925585611831,-0.4201811589300632,-23.420952321964702,1466.0052643232048,0.0504365819493105
