round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,12.804120477289604,4.10425646007061,72.60134786646813,0.0
2,17.07001369783996,6.497171324491501,83.07261051237583,0.056923866271972656
3,19.397662227887057,7.868399810791016,78.40908490028232,0.10950732231140137
4,21.148856979118058,9.030509161949158,80.55191412847489,-0.13188743591308594
5,22.784133545593235,10.048828125,87.31414777506143,-0.4620695114135742
6,24.731769172334335,11.186691796779632,90.63928988017142,-0.4109325885772705
7,26.231088475610363,12.499663257598877,85.01612133067101,-0.5121189753214518
8,27.44233645135925,13.18460397720337,79.98168829642236,-0.29201129504612516
9,28.96317717062383,14.218076491355896,80.3647693656385,-0.47743239998817444
10,29.972654205491217,14.660897088050842,84.5738503811881,-0.2900590631696913
11,30.809203453561558,16.13651661872864,85.22709223534912,-0.6256436109542847
12,32.576671647168766,16.706963896751404,85.1655781166628,-0.5271027088165283
13,32.979636894552804,17.525592708587645,80.93789510522038,-0.5717448790868124
14,33.95257713285414,18.20480868816376,83.64247302804142,-0.52178404881404
15,35.03040916444551,18.999528574943543,85.97125259786844,-0.5403029067175729
16,35.74757745449001,19.697602343559264,87.85444910544902,-0.6886823813120524
17,36.816421697971805,20.555293607711793,85.96892734151334,-0.5609062761068344
18,37.93403312580439,20.756667566299438,81.47573703993112,-0.5567038339727065
19,38.80422518297253,21.530845832824706,81.08389892522246,-0.7257731358210245
20,39.83903966123842,22.596645975112914,83.16043515875936,-0.6186689452121132
21,40.845463689397505,22.783539915084837,87.29940923396498,-0.655047619342804
22,42.12888750155969,23.83923759460449,84.93268772680312,-0.6870749223799932
23,42.59679622148887,24.458176136016846,84.94783578906208,-0.6074724089015614
24,43.818062168972745,25.1730872631073,80.98037366103381,-0.7072660093722136
25,44.33976318280314,26.4328528881073,85.17942454852164,-0.8040136992931366
26,45.273649426756435,26.72413787841797,88.70265571493655,-0.7449025344848633
27,46.24544461001339,27.268655681610106,85.64040690008551,-0.8143094136164739
28,47.37369143809769,28.21154365539551,79.90678317006677,-0.7594613940627487
29,47.84570635458762,28.449622869491577,80.85751770064235,-0.7893148958683014
30,48.87683983244093,29.84846439361572,84.43331958167255,-0.7435483439215298
31,49.47097680266531,30.17780170440674,86.7414475735277,-0.803186825911204
32,50.564571560350224,30.2414466381073,85.02153345476836,-0.7330139452411283
33,50.905152506683606,30.970164346694947,81.83008599281311,-0.8085302598774433
34,51.67178015239284,31.811691761016846,81.30086515843868,-0.8131702524242979
35,52.54564065129358,31.384361457824706,83.56215712241828,-0.7796004975543303
36,53.03235080479991,32.63368811607361,88.36083758436143,-0.7942004680633545
37,54.08015647359148,32.92328925132752,86.04089904669672,-0.7930046717325846
38,54.15939320139904,34.354795169830325,80.72154017258435,-0.8713487386703491
39,55.27258222822597,34.6652747631073,81.78604967519641,-0.7247967155356156
40,55.89529714933885,34.77943153381348,84.71304116304964,-0.7059868910373785
41,56.21898487390894,35.2805091381073,88.58400592301041,-0.7702731966972352
42,57.41758291767138,35.60681562423706,86.46420175302774,-0.8098644570606511
43,57.74426873456656,35.38287982940674,81.63341626618057,-0.8292071677389599
44,58.42407489412757,36.97130913734436,81.1354857860133,-0.8438162526418996
45,58.633475730585396,37.12553882598877,83.04453224875033,-0.8294612521475012
46,59.307555364660026,37.354189014434816,86.20167236402631,-0.8333317677179972
47,59.84870621858015,38.053946590423585,85.17516279313713,-0.8777248315189196
48,60.72748954238948,38.43009166717529,81.24978012125939,-0.8930612016231456
49,61.558763262256925,37.97245426177979,83.02579811122268,-0.8430634712179502
50,61.4124869603369,39.37095909118652,84.06399285048246,-0.7609700207807579
51,62.51658684189662,39.37466316223144,88.66879456210881,-0.845710301399231
52,63.019100980808105,39.473329591751096,86.55091030802578,-0.8097899754842123
