run_label,source,final_mean_FgT_loss,best_mean_FgT_loss,sum_mean_FgT_loss,total_time_sec,AUPF
SFLV2 + Projected - CIFAR-100 α=0.5 - Early Cut.csv,SFLV2 + Projected - CIFAR-100 α=0.5 - Early Cut.csv,-0.3530007897309921,-0.9587986707687378,-95.65763150135928,28837.97919959016,0.0
SFLV2 + Projected - CIFAR-100 α=0.5 - Late Cut.csv,SFLV2 + Projected - CIFAR-100 α=0.5 - Late Cut.csv,-0.7762700469050575,-0.918500987210668,-149.8719918967018,14110.720536241308,0.3115606989179338
SFLV2 + Projected - CIFAR-100 α=0.5 - Mid Cut.csv,SFLV2 + Projected - CIFAR-100 α=0.5 - Mid Cut.csv,-0.3525299124382249,-0.8930612016231456,-107.82772104188909,16800.44542840123,0.1664311885833739
